"trigram","n","start","end"
"best book read",2,"best book","read"
"best diet pill",2,"best diet","pill"
"best first quarter",2,"best first","quarter"
"best gift ever",2,"best gift","ever"
"best job can",2,"best job","can"
"better late never",2,"better late","never"
"big audio dynamit",2,"big audio","dynamit"
"biggest sell beer",2,"biggest sell","beer"
"bikini swimwear top",2,"bikini swimwear","top"
"birthday extra special",2,"birthday extra","special"
"black bean corn",2,"black bean","corn"
"blame global warm",2,"blame global","warm"
"blend year old",2,"blend year","old"
"blue white mottahedeh",2,"blue white","mottahedeh"
"board made decis",2,"board made","decis"
"boil reduc heat",2,"boil reduc","heat"
"bonus stock worth",2,"bonus stock","worth"
"boy moder injuri",2,"boy moder","injuri"
"breast cancer survivor",2,"breast cancer","survivor"
"bring back mani",2,"bring back","mani"
"brooklyn histor societi",2,"brooklyn histor","societi"
"busi leisur travel",2,"busi leisur","travel"
"buy health insur",2,"buy health","insur"
"cab will run",2,"cab will","run"
"campaign financ record",2,"campaign financ","record"
"can also give",2,"can also","give"
"can also see",2,"can also","see"
"can borrow librari",2,"can borrow","librari"
"can choos come",2,"can choos","come"
"can even buy",2,"can even","buy"
"can get involv",2,"can get","involv"
"can get refil",2,"can get","refil"
"can just say",2,"can just","say"
"can make differ",2,"can make","differ"
"can pretti much",2,"can pretti","much"
"can put thing",2,"can put","thing"
"can take photo",2,"can take","photo"
"can u pleas",2,"can u","pleas"
"canadian footbal leagu",2,"canadian footbal","leagu"
"cancer heart diseas",2,"cancer heart","diseas"
"cancer month ago",2,"cancer month","ago"
"candid mitt romney",2,"candid mitt","romney"
"cant wait get",2,"cant wait","get"
"cant wait read",2,"cant wait","read"
"cant wait till",2,"cant wait","till"
"case western reserv",2,"case western","reserv"
"case your wonder",2,"case your","wonder"
"cat smelli cat",2,"cat smelli","cat"
"cathol code canon",2,"cathol code","canon"
"caus death america",2,"caus death","america"
"cd releas parti",2,"cd releas","parti"
"celebr mother day",2,"celebr mother","day"
"cell phone bill",2,"cell phone","bill"
"center around beer",2,"center around","beer"
"chairman chief execut",2,"chairman chief","execut"
"chanc win prize",2,"chanc win","prize"
"chandler centenni chihuahua",2,"chandler centenni","chihuahua"
"chang min scoff",2,"chang min","scoff"
"chief financi offic",2,"chief financi","offic"
"child abus charg",2,"child abus","charg"
"children famili servic",2,"children famili","servic"
"children seem like",2,"children seem","like"
"chlorin sweati ball",2,"chlorin sweati","ball"
"chocol ice cream",2,"chocol ice","cream"
"choos honor god",2,"choos honor","god"
"circuit court appeal",2,"circuit court","appeal"
"cite disord conduct",2,"cite disord","conduct"
"class fall class",2,"class fall","class"
"class spring class",2,"class spring","class"
"cleveland clinic innov",2,"cleveland clinic","innov"
"closur also expect",2,"closur also","expect"
"cmos imag sensor",2,"cmos imag","sensor"
"coach pat shurmur",2,"coach pat","shurmur"
"code canon law",2,"code canon","law"
"color palett challeng",2,"color palett","challeng"
"come back year",2,"come back","year"
"come dont miss",2,"come dont","miss"
"come join us",2,"come join","us"
"come next week",2,"come next","week"
"come see us",2,"come see","us"
"come togeth make",2,"come togeth","make"
"comment pend litig",2,"comment pend","litig"
"commerc depart find",2,"commerc depart","find"
"compact fluoresc light",2,"compact fluoresc","light"
"conduct yearold shakope",2,"conduct yearold","shakope"
"congest heart failur",2,"congest heart","failur"
"congratul women work",2,"congratul women","work"
"contract worth million",2,"contract worth","million"
"control danger substanc",2,"control danger","substanc"
"convict face year",2,"convict face","year"
"core issu whether",2,"core issu","whether"
"cost m make",2,"cost m","make"
"counti district attorney",2,"counti district","attorney"
"counti prosecutor offic",2,"counti prosecutor","offic"
"counti sheriff deputi",2,"counti sheriff","deputi"
"counti sheriff offic",2,"counti sheriff","offic"
"counti warrant yearold",2,"counti warrant","yearold"
"coupl day ago",2,"coupl day","ago"
"court document state",2,"court document","state"
"craft beer week",2,"craft beer","week"
"creat project use",2,"creat project","use"
"creativ juic flow",2,"creativ juic","flow"
"creme blush mac",2,"creme blush","mac"
"crest mountain guid",2,"crest mountain","guid"
"critic theori experi",2,"critic theori","experi"
"current fiscal year",2,"current fiscal","year"
"custom without power",2,"custom without","power"
"cut come top",2,"cut come","top"
"cuyahoga counti execut",2,"cuyahoga counti","execut"
"d r janus",2,"d r","janus"
"danc last night",2,"danc last","night"
"day day live",2,"day day","live"
"day disabl list",2,"day disabl","list"
"day everi time",2,"day everi","time"
"day last week",2,"day last","week"
"day one thing",2,"day one","thing"
"day per week",2,"day per","week"
"day sometim im",2,"day sometim","im"
"de la princesa",2,"de la","princesa"
"debt grown signific",2,"debt grown","signific"
"dental x ray",2,"dental x","ray"
"diabet heart diseas",2,"diabet heart","diseas"
"didnt exist day",2,"didnt exist","day"
"didnt stay long",2,"didnt stay","long"
"diet pill market",2,"diet pill","market"
"dime beer night",2,"dime beer","night"
"dine room tabl",2,"dine room","tabl"
"dinner night brunch",2,"dinner night","brunch"
"direct job creation",2,"direct job","creation"
"director pos yr",2,"director pos","yr"
"discov fetal posit",2,"discov fetal","posit"
"disord conduct yearold",2,"disord conduct","yearold"
"district attorney offic",2,"district attorney","offic"
"done unto us",2,"done unto","us"
"dont believ god",2,"dont believ","god"
"dont expect us",2,"dont expect","us"
"dont get see",2,"dont get","see"
"dont know els",2,"dont know","els"
"dont know lol",2,"dont know","lol"
"dont know whether",2,"dont know","whether"
"dont know without",2,"dont know","without"
"dont know yet",2,"dont know","yet"
"dont know your",2,"dont know","your"
"dont realli need",2,"dont realli","need"
"dont seem enough",2,"dont seem","enough"
"dont talk never",2,"dont talk","never"
"dont think ever",2,"dont think","ever"
"dont think go",2,"dont think","go"
"dont understand word",2,"dont understand","word"
"dont want put",2,"dont want","put"
"dream last night",2,"dream last","night"
"drink fizzi pop",2,"drink fizzi","pop"
"e street band",2,"e street","band"
"earli saturday morn",2,"earli saturday","morn"
"earth wind fire",2,"earth wind","fire"
"easier said done",2,"easier said","done"
"easter egg hunt",2,"easter egg","hunt"
"eat pray love",2,"eat pray","love"
"economi grow percent",2,"economi grow","percent"
"editor news world",2,"editor news","world"
"edward mr mendahun",2,"edward mr","mendahun"
"efsf fund use",2,"efsf fund","use"
"els can see",2,"els can","see"
"emiss blame global",2,"emiss blame","global"
"end last year",2,"end last","year"
"enough next year",2,"enough next","year"
"enterpris softwar firm",2,"enterpris softwar","firm"
"euro rm million",2,"euro rm","million"
"even someth simpl",2,"even someth","simpl"
"ever wonder god",2,"ever wonder","god"
"everi cab will",2,"everi cab","will"
"everi day will",2,"everi day","will"
"everi singl time",2,"everi singl","time"
"everi time put",2,"everi time","put"
"execut director oregon",2,"execut director","oregon"
"exist day ago",2,"exist day","ago"
"export coal china",2,"export coal","china"
"express true self",2,"express true","self"
"eye can see",2,"eye can","see"
"eye open wide",2,"eye open","wide"
"fall class spring",2,"fall class","spring"
"fall max payn",2,"fall max","payn"
"fall trap strife",2,"fall trap","strife"
"famili hous burn",2,"famili hous","burn"
"feder elect commiss",2,"feder elect","commiss"
"feder health care",2,"feder health","care"
"feder state law",2,"feder state","law"
"feel free check",2,"feel free","check"
"feel good realli",2,"feel good","realli"
"feel great im",2,"feel great","im"
"feel like got",2,"feel like","got"
"feel much better",2,"feel much","better"
"feel pretti good",2,"feel pretti","good"
"feet inch high",2,"feet inch","high"
"felt like lot",2,"felt like","lot"
"fill bottl wine",2,"fill bottl","wine"
"find iron tooth",2,"find iron","tooth"
"find true love",2,"find true","love"
"fine can see",2,"fine can","see"
"fire media affair",2,"fire media","affair"
"first book seri",2,"first book","seri"
"first four game",2,"first four","game"
"first let say",2,"first let","say"
"first quarter sinc",2,"first quarter","sinc"
"first quarter year",2,"first quarter","year"
"first round pick",2,"first round","pick"
"first thing came",2,"first thing","came"
"first thing morn",2,"first thing","morn"
"first thing notic",2,"first thing","notic"
"first time school",2,"first time","school"
"first time season",2,"first time","season"
"fiscal year end",2,"fiscal year","end"
"fit bill nice",2,"fit bill","nice"
"five hit two",2,"five hit","two"
"five hospic case",2,"five hospic","case"
"five six game",2,"five six","game"
"five six year",2,"five six","year"
"five walk one",2,"five walk","one"
"five year later",2,"five year","later"
"florenc normandi florenc",2,"florenc normandi","florenc"
"fold across chest",2,"fold across","chest"
"follow back d",2,"follow back","d"
"follow pleas love",2,"follow pleas","love"
"follow pois creation",2,"follow pois","creation"
"follow u u",2,"follow u","u"
"food drug administr",2,"food drug","administr"
"former editor news",2,"former editor","news"
"former massachusett governor",2,"former massachusett","governor"
"fountain park sept",2,"fountain park","sept"
"four month ago",2,"four month","ago"
"four time last",2,"four time","last"
"francisco state univers",2,"francisco state","univers"
"free will can",2,"free will","can"
"g gentri pass",2,"g gentri","pass"
"galperin said citi",2,"galperin said","citi"
"gas emiss blame",2,"gas emiss","blame"
"gentri pass jordan",2,"gentri pass","jordan"
"get arm around",2,"get arm","around"
"get back us",2,"get back","us"
"get bad rap",2,"get bad","rap"
"get chore done",2,"get chore","done"
"get follow back",2,"get follow","back"
"get hit pitch",2,"get hit","pitch"
"get new follow",2,"get new","follow"
"get one thing",2,"get one","thing"
"get stand ovat",2,"get stand","ovat"
"get thing done",2,"get thing","done"
"get two vote",2,"get two","vote"
"gift ever got",2,"gift ever","got"
"girl dragon tattoo",2,"girl dragon","tattoo"
"girl read jean",2,"girl read","jean"
"girl team won",2,"girl team","won"
"girl wear missesjunior",2,"girl wear","missesjunior"
"girl yearold boy",2,"girl yearold","boy"
"girl yearold girl",2,"girl yearold","girl"
"give away free",2,"give away","free"
"go back go",2,"go back","go"
"go back school",2,"go back","school"
"go back time",2,"go back","time"
"go back work",2,"go back","work"
"go cub go",2,"go cub","go"
"go get done",2,"go get","done"
"go go detail",2,"go go","detail"
"go just fine",2,"go just","fine"
"go long way",2,"go long","way"
"go servic desk",2,"go servic","desk"
"go win game",2,"go win","game"
"god oh god",2,"god oh","god"
"good beauti god",2,"good beauti","god"
"good enough team",2,"good enough","team"
"good enough win",2,"good enough","win"
"good stuff gone",2,"good stuff","gone"
"good time alway",2,"good time","alway"
"good time get",2,"good time","get"
"goodby close eye",2,"goodby close","eye"
"gop presidenti candid",2,"gop presidenti","candid"
"got m sign",2,"got m","sign"
"gov jerri brown",2,"gov jerri","brown"
"gov rick perri",2,"gov rick","perri"
"govern never yet",2,"govern never","yet"
"grand scheme thing",2,"grand scheme","thing"
"great see guy",2,"great see","guy"
"great way start",2,"great way","start"
"grin ear ear",2,"grin ear","ear"
"gross domest product",2,"gross domest","product"
"gross m last",2,"gross m","last"
"gun germ steel",2,"gun germ","steel"
"h jpmorgan prime",2,"h jpmorgan","prime"
"happen dont know",2,"happen dont","know"
"happen last night",2,"happen last","night"
"happen right now",2,"happen right","now"
"happi joy joy",2,"happi joy","joy"
"happi project gretchen",2,"happi project","gretchen"
"hard time get",2,"hard time","get"
"havent read book",2,"havent read","book"
"havent read yet",2,"havent read","yet"
"havent seen yet",2,"havent seen","yet"
"head poll today",2,"head poll","today"
"health care industri",2,"health care","industri"
"health care insur",2,"health care","insur"
"health care law",2,"health care","law"
"health human servic",2,"health human","servic"
"heart diseas diabet",2,"heart diseas","diabet"
"held press confer",2,"held press","confer"
"hell hath furi",2,"hell hath","furi"
"hello friend im",2,"hello friend","im"
"help burn calori",2,"help burn","calori"
"help overcom addict",2,"help overcom","addict"
"help young peopl",2,"help young","peopl"
"high fuel cost",2,"high fuel","cost"
"high school athlet",2,"high school","athlet"
"high school championship",2,"high school","championship"
"high school senior",2,"high school","senior"
"high speed minut",2,"high speed","minut"
"hill high school",2,"hill high","school"
"hip hop u",2,"hip hop","u"
"hire produc trail",2,"hire produc","trail"
"hire remain strong",2,"hire remain","strong"
"hit home run",2,"hit home","run"
"home run season",2,"home run","season"
"honesti best polici",2,"honesti best","polici"
"hope enjoy food",2,"hope enjoy","food"
"hope great day",2,"hope great","day"
"hope wonder time",2,"hope wonder","time"
"hope your well",2,"hope your","well"
"hound make think",2,"hound make","think"
"hous consum spend",2,"hous consum","spend"
"hous real estat",2,"hous real","estat"
"howard counti circuit",2,"howard counti","circuit"
"hyde park corner",2,"hyde park","corner"
"id like see",2,"id like","see"
"ill never stop",2,"ill never","stop"
"illinoi incorpor item",2,"illinoi incorpor","item"
"im go right",2,"im go","right"
"im just gonna",2,"im just","gonna"
"im just like",2,"im just","like"
"im realli realli",2,"im realli","realli"
"im sure rt",2,"im sure","rt"
"immigr custom enforc",2,"immigr custom","enforc"
"inch high jump",2,"inch high","jump"
"includ new york",2,"includ new","york"
"incorpor item c",2,"incorpor item","c"
"increas last year",2,"increas last","year"
"index univers life",2,"index univers","life"
"initi indefinit articl",2,"initi indefinit","articl"
"insur compani may",2,"insur compani","may"
"intern affair complaint",2,"intern affair","complaint"
"internet servic provid",2,"internet servic","provid"
"iran nuclear program",2,"iran nuclear","program"
"issu statement say",2,"issu statement","say"
"item c pp",2,"item c","pp"
"ive got big",2,"ive got","big"
