"district",114,"district","district"
"other",114,"other","other"
"player",114,"player","player"
"road",114,"road","road"
"stand",114,"stand","stand"
"understand",114,"understand","understand"
"finish",113,"finish","finish"
"true",113,"true","true"
"young",113,"young","young"
"develop",112,"develop","develop"
"note",112,"note","note"
"result",112,"result","result"
"coupl",111,"coupl","coupl"
"fall",111,"fall","fall"
"list",111,"list","list"
"coach",110,"coach","coach"
"john",110,"john","john"
"paper",110,"paper","paper"
"return",110,"return","return"
"sometim",110,"sometim","sometim"
"song",110,"song","song"
"amaz",109,"amaz","amaz"
"clear",109,"clear","clear"
"perfect",109,"perfect","perfect"
"probabl",109,"probabl","probabl"
"church",108,"church","church"
"feder",108,"feder","feder"
"third",108,"third","third"
"thursday",108,"thursday","thursday"
"york",108,"york","york"
"class",107,"class","class"
"color",107,"color","color"
"cool",107,"cool","cool"
"drink",107,"drink","drink"
"posit",107,"posit","posit"
"rais",107,"rais","rais"
"saturday",107,"saturday","saturday"
"sit",107,"sit","sit"
"sunday",107,"sunday","sunday"
"sweet",107,"sweet","sweet"
"vote",107,"vote","vote"
"forward",106,"forward","forward"
"given",106,"given","given"
"readi",106,"readi","readi"
"son",106,"son","son"
"total",106,"total","total"
"certain",105,"certain","certain"
"charg",105,"charg","charg"
"histori",105,"histori","histori"
"level",105,"level","level"
"red",105,"red","red"
"matter",104,"matter","matter"
"page",104,"page","page"
"polit",104,"polit","polit"
"releas",104,"releas","releas"
"success",104,"success","success"
"behind",103,"behind","behind"
"half",103,"half","half"
"rule",103,"rule","rule"
"age",102,"age","age"
"general",102,"general","general"
"involv",102,"involv","involv"
"news",102,"news","news"
"parent",102,"parent","parent"
"whether",102,"whether","whether"
"card",101,"card","card"
"price",101,"price","price"
"seri",101,"seri","seri"
"avail",100,"avail","avail"
"custom",100,"custom","custom"
"natur",100,"natur","natur"
"sleep",100,"sleep","sleep"
"train",100,"train","train"
"break",99,"break","break"
"colleg",99,"colleg","colleg"
"consid",99,"consid","consid"
"current",99,"current","current"
"excit",99,"excit","excit"
"front",99,"front","front"
"knew",99,"knew","knew"
"present",99,"present","present"
"singl",99,"singl","singl"
"social",99,"social","social"
"band",98,"band","band"
"requir",98,"requir","requir"
"tweet",98,"tweet","tweet"
"addit",97,"addit","addit"
"charact",97,"charact","charact"
"effect",97,"effect","effect"
"instead",96,"instead","instead"
"isnt",96,"isnt","isnt"
"join",96,"join","join"
"save",96,"save","save"
"summer",96,"summer","summer"
"woman",96,"woman","woman"
"former",95,"former","former"
"goe",95,"goe","goe"
"grow",95,"grow","grow"
"organ",95,"organ","organ"
"practic",95,"practic","practic"
"south",95,"south","south"
"test",95,"test","test"
